"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/ShadingAssets/Materials/M_Wood_Floor.M_Wood_Floor","0","0","12","1","0.000000","0","0"
"/Game/ShadingAssets/Materials/M_WhitePaint.M_WhitePaint","0","0","21","1","0.000000","0","0"
"/Game/ShadingAssets/Materials/M_Neon.M_Neon","0","0","12","1","0.000000","0","0"
"/Game/ShadingAssets/Materials/MAT_VannyDistortion.MAT_VannyDistortion","0","4","4","1","2.644806","0","7"
"/Game/ShadingAssets/Materials/MWood.MWood","0","0","12","1","0.000000","0","0"
"/Game/ShadingAssets/Materials/MI_Mirror.MI_Mirror","0","0","12","1","0.000000","0","0"
"/Game/ShadingAssets/Materials/Jim.Jim","0","0","12","1","0.000000","0","0"
"/Game/ShadingAssets/Materials/MAT_MoonManDistortion1.MAT_MoonManDistortion1","0","4","2","1","2.015024","0","11"
"/Game/ShadingAssets/Materials/DBG_AIPawnVis_Green.DBG_AIPawnVis_Green","0","0","12","1","0.000000","0","0"
"/Game/ShadingAssets/Materials/DBG_AIPawnVis_Blue.DBG_AIPawnVis_Blue","0","0","12","1","0.000000","0","0"
"/Game/ShadingAssets/Materials/DBG_AIPawnVis.DBG_AIPawnVis","0","0","12","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Materials/Blue.Blue","0","0","12","1","0.000000","0","0"
"/Game/Mods/Test/Stuff/Mat.Mat","0","0","12","1","0.000000","0","0"
"/Game/Materials/Test_Mat.Test_Mat","0","0","12","1","0.000000","0","0"
"/Game/Materials/PowerMat.PowerMat","0","0","12","1","0.000000","0","0"
"/Game/Materials/Purple.Purple","0","0","12","1","0.000000","0","0"
"/Game/Materials/M_Debug_XRay.M_Debug_XRay","0","0","12","1","0.000000","0","0"
